sentiment,emotion,summary
Neutral,Neutral,"""Strength"" is too vague to classify as positive, negative, or mixed."
Neutral,Neutral,"""What's that?"" doesn't express a clear sentiment."
Neutral,Religious (not Ekman's basic emotions),"""Astagfirullah - I seek refuge in God from Satan"" is a religious phrase, not an emotion."
Neutral,Surprise,I thought it was a baby's body 😜
Neutral,Neutral,"""Keep going, background!"" is too vague to classify."
Neutral,Surprise,I thought it was a baby's body.
Neutral,No clear emotion,@QHUSNA ADILA
Neutral,No clear emotion,Still eating like this late at night 😴
Neutral,No clear emotion,@kalalewe87 @kawara15
Neutral,No emotion,The statement indicates uncertainty or confusion.
Neutral,No emotion detected,"Oh, forgive me (astagfirullah is a phrase used to seek forgiveness from God)"
Neutral,No clear emotion,"This appears to be a tag or mention, not a review."
Neutral,Neutral,"This is an encouraging statement, but doesn't express a clear positive or negative emotion."
Neutral,Neutral,"This is a cautionary statement, neither positive nor negative."
Neutral,Confusion,What is this?
Neutral,Neutral,"This statement is a motivational one, neither positive nor negative."
Neutral,Neutral,"Please wear masks, guys. This is a neutral, informative statement."
Neutral,Religious,Astagfirullah
Neutral,Neutral,"What's the point, man? This statement doesn't express a clear positive, negative, or mixed sentiment."
Neutral,None,"This is a neutral statement asking about personal timing, not expressing emotion."
Neutral,No emotion detected,"Keep going, background"
Neutral,No emotion detected,"Stay healthy, SSL"
Neutral,None,"This is a factual statement promoting safety, not expressing emotion."
Neutral,No emotion detected,"""Itu apa?"" - What is this?"
Neutral,No emotion detected,"""ngubur nya di kebun pisang😁"" - Buried in a banana grove 😁"
Neutral,No emotion detected,A question about identification.
Neutral,No emotion detected,A casual greeting.
Neutral,No emotion detected,A general safety warning.
Neutral,No Emotion Detected,The review lacks clear emotional content.
Neutral,No emotion detected,Wearing masks is a health recommendation.
Neutral,No Emotion Detected,The review is a religious phrase without clear emotional context.
Neutral,No clear emotion,"The statement seems to express confusion or curiosity, but no clear emotion is discernible, classified as Neutral."
Neutral,No clear emotion,"The statement seems to express anticipation or desire, but no clear emotion is discernible, classified as Neutral."
Neutral,Confusion,"The user seems puzzled or questioning, not expressing a clear emotion."
Neutral,No Emotion Detected,The review is a well-wishing statement without clear emotional content.
Neutral,Anger,Why are there comments that are so tough on Pandawa?
Neutral,Religious,"The reviewer seeks divine forgiveness, indicating a religious sentiment rather than a clear positive, negative, or mixed emotion."
Neutral,Sadness,"Pandawara, my river here is also full of dirt."
Neutral,Neutral,"This is a request for information, neither positive nor negative."
Neutral,Surprise,"The question ""Is that a human?"" implies surprise or confusion."
Neutral,No emotion,"This is a religious phrase used for someone who has passed away, not expressing a specific emotion."
Neutral,Neutral,"This is a health recommendation, neither positive nor negative."
Neutral,No emotion,The statement is a general request for caution.
Neutral,Neutral,"This review is ambiguous and doesn't clearly express a positive, negative, or mixed sentiment. It's a mix of confusion and humor, not tied to Ekman's emotions."
Neutral,Neutral,"""Everything is fine"" is a neutral statement indicating a state of equilibrium, not conveying a specific emotion."
Neutral,Neutral,This review consists of usernames and doesn't convey an emotion or opinion.
Neutral,Neutral,"This is a Muslim prayer for the deceased, thus it doesn't express a positive, negative, or mixed sentiment. It's a solemn and respectful acknowledgment, not tied to Ekman's emotions."
Neutral,Neutral,This review is incomplete and doesn't convey a clear emotion or opinion.
Neutral,Neutral,This review is a question and doesn't convey a specific emotion.
Neutral,Confusion,"The speaker is questioning a harsh comment, not expressing a strong emotion."
Neutral,Surprise,The speaker was genuinely surprised by a misunderstanding.
Neutral,Neutral,"This is a thank you and an apology, lacking strong emotion."
Neutral,Neutral,This review is more of a factual statement than an emotional expression.
Neutral,No emotion,"Keep it up, buddy"
Neutral,Neutral,"This comment is factual and does not express a clear positive, negative, or mixed sentiment."
Neutral,No Emotion,"I thought it was a baby's body, cool"
Neutral,No Emotion,Al-Fatihah...
Neutral,No emotion,(No comment)
Neutral,No Emotion,"Pandawara doesn't need words, just real actions to protect the environment."
Neutral,No emotion,What's that?
Neutral,Neutral,"This is a factual statement about wearing masks, not expressing a clear positive, negative, or mixed sentiment."
Neutral,Neutral,"This statement seeks forgiveness, showing no inherent positive or negative sentiment."
Neutral,Neutral,"This line is a prayer, so it doesn't express a clear positive, negative, or mixed sentiment. It also doesn't align with Ekman's basic emotions."
Neutral,Neutral,"This statement corrects a misunderstanding, showing no inherent positive or negative sentiment."
Neutral,Neutral,This review is too short to classify.
Neutral,Confusion,"The statement ""What is that?"" suggests a lack of understanding or confusion."
Neutral,No emotion,This statement is factual and doesn't express a clear emotion.
Neutral,No clear emotion,"The review is incomplete, making it impossible to classify."
Neutral,No clear emotion,The statement about still eating in a certain way lacks emotional content.
Neutral,Neutral,I thought it was a baby's body
Neutral,No emotion,I thought you were mad 🗿
Neutral,🙏,"Oh, Allah, have mercy 🙏😭"
Neutral,No emotion,"Pandawara doesn't need words, it just needs concrete actions from us to protect the environment"
Neutral,None,This comment doesn't express a clear emotion.
Neutral,Neutral,"You guys should wear masks - This is a neutral, practical suggestion."
Neutral,None,This comment doesn't express a clear emotion.
Neutral,None,This comment doesn't express a clear emotion.
Neutral,No emotion,"The comment is a request for caution, showing no particular emotion."
Neutral,None,This comment doesn't express a clear emotion.
Neutral,No emotion,The comment is instructional and does not convey a strong emotion.
Neutral,None,This comment doesn't express a clear emotion.
Neutral,No emotion,"The comment is a question, showing no particular emotion."
Neutral,No emotion,"The comment is a straightforward instruction or reminder, showing no particular emotion."
Neutral,Surprise,"The reviewer expresses surprise with multiple ""😱"" emojis, indicating a shocking discovery."
Neutral,Surprise,"The repeated ""😳"" emojis suggest shock or alarm, but without context, it's hard to classify as a clear emotion."
Neutral,No emotion detected,@QHUSNA ADILA
Neutral,No emotion detected,@kalalewe87 @kawara15
Neutral,No emotion detected,(No translation provided)
Neutral,No emotion detected,Mask wearing is a practical health measure.
Neutral,No emotion detected,"💪 (implies strength, not a basic emotion)"
Neutral,No emotion detected,(No translation provided)
Neutral,No emotion detected,(No translation provided)
Neutral,No emotion detected,"😏😏😏 (smirking, not a basic emotion)"
Neutral,No clear emotion detected,Please be careful
Neutral,No emotion detected,It's cool! 😎
Neutral,Surprise,"Oh my, oh my, oh my."
Neutral,No emotion,Please be careful
Neutral,Neutral,"Salute to you all, respect."
Neutral,None,The statement is a question without an apparent emotional tone.
Neutral,No clear emotion,This statement is factual and doesn't convey a strong emotion.
Neutral,No specific emotion,"Please, be careful"
Neutral,None,😏😏😏
Neutral,No specific emotion,"Pandawara doesn't need words, Pandawara only needs real proof from us to protect the environment"
Neutral,No specific emotion,Why does the comment have someone being tough like Pandawa?
Neutral,None,The smell has reached here...😭
Neutral,No specific emotion,Please wear masks 😷
Neutral,No emotion,Cool.
Neutral,No emotion,May all of you stay healthy.
Neutral,No Emotion,"This is a statement of confusion, not an emotional response."
Neutral,No emotion,"People already have the public responsibility to maintain cleanliness. One piece of trash can disrupt the ecosystem, let alone an entire village, if no one cares, it will never get cleaned up."
Neutral,No emotion,"Salute to you all, respectful greetings 🙏"
Neutral,No Emotion,"This is a question, not an emotional response."
Neutral,No emotion,@waduh... there are so many discoveries 😱😱
Neutral,No Emotion,"This is a directive, not an emotional response."
Neutral,Neutral,Thank you
Neutral,No emotion,"The statement ""Please be careful"" is a neutral, cautionary note."
Neutral,Neutral,Cool
Neutral,Neutral,"It's the public's responsibility to maintain cleanliness, one piece of trash can disrupt the ecosystem, imagine an entire village, if no one cares, it'll never get clean."
Neutral,No emotion,"Keep the spirit up, really..."
Neutral,Neutral,"Spirit of Pandawaraa, forgive us for only being able to watch without helping, even causing inconvenience 😌"
Neutral,Neutral,Cool.
Neutral,Surprise,😳😳😳
Neutral,Neutral,@QHUSNA ADILA
Neutral,Neutral,Eating this way on the go.
Neutral,No clear emotion,"This is a practical, directive statement without a clear emotional connotation."
Neutral,No clear emotion detected,"Pandawara doesn't need words, it just needs real actions to protect the environment"
Neutral,No emotion detected,@QHUSNA ADILA
Neutral,No significant emotion,"Pandawara doesn't need words, Pandawara needs concrete actions from us to protect the environment"
Neutral,Fear,The review is a direct plea for fear or caution.
Neutral,No emotion detected,Why does Pandawa have such tough comments?
Neutral,No emotion detected,Please wear masks
Neutral,No emotion detected,I thought it was a baby's body 🤯
Neutral,Surprise,"""What is this?"" indicates confusion or curiosity, leaning towards surprise."
Neutral,No emotion detected,Feel sorry for them 🥺
Neutral,No emotion detected,I thought it was a baby's body
Neutral,No clear emotion,Why are there tough comments from Pandawa?
Neutral,No clear emotion,"Keep up the spirit, indeed..."
Neutral,No Emotion,The opening chapter...
Neutral,Neutral,"The comment is neutral and does not express a clear positive, negative, or mixed sentiment."
Neutral,No Emotion,Please wear masks
Neutral,Neutral,"The comment is a simple expression of coolness, lacking clear sentiment."
Neutral,Neutral,"This is a username mention, not a review."
Neutral,Neutral,"The comment expresses indifference or acceptance, not a clear sentiment."
Neutral,Neutral,"This is a username mention, not a review."
Neutral,Neutral,"No comment provided, thus no sentiment can be determined."
Neutral,Neutral,"The comment is a question, lacking clear sentiment."
Neutral,Neutral,"""Astagfirullah"" is a phrase of repentance, not directly linked to a positive, negative, or mixed sentiment in this context."
Neutral,None,Please wear masks 😷 (Advisory rather than emotional)
Neutral,No clear emotion,"The review mentions watching a movie while eating snacks, with no emotional connotation."
Neutral,No clear emotion,The statement about sincerity doesn't express a clear emotion.
Neutral,No clear emotion,"The statement is a comment on someone's comment, lacking emotional content."
Neutral,No clear emotion,"The word ""cool"" can be neutral, depending on context, but here it seems to lack strong emotion."
Neutral,None,I thought it was a baby's body
Neutral,No clear emotion,"This appears to be a tag or mention, not a review."
Neutral,No clear emotion,@QHUSNA ADILA - This is a mention without an
Neutral,No clear emotion,Cool. - This is a neutral statement with no clear emotional connotation.
Neutral,No emotion detected,Eating like this again.
Neutral,Surprise,The review shows surprise at an unexpected revelation.
Neutral,None,The statement is a factual instruction without an emotional tone.
Neutral,No emotion detected,@kalalewe87 @kawara15
Neutral,No emotion detected,(No translation provided)
Neutral,None,The statement is a general warning without an apparent emotional tone.
Neutral,No emotion detected,What's that?
Neutral,Surprise,"Oh my, oh my, oh my, oh my."
Neutral,None,This is a simple acknowledgment and doesn't convey any emotion or sentiment.
Neutral,No clear emotion,"Pandawara doesn't need words, it needs real actions from us to protect the environment"
Neutral,No clear emotion,Why don't we have any tough comments like Pandawa's?
Neutral,None,"This is a brief, neutral statement without clear emotional content."
Neutral,No clear emotion,Please wear masks
Neutral,None,"""Cool"" is a neutral statement and doesn't convey a clear emotion or sentiment."
Neutral,None,This is a mention or tag and doesn't convey any emotion or sentiment.
Neutral,No clear emotion,"Keep going, really..."
Neutral,Surprise,"If I met a baby's corpse, I'd... 😭 (Expression of shock)"
Neutral,None,This is a statement about repeating an action and doesn't convey any emotion or sentiment.
Neutral,None,This is a mention or tag and doesn't convey any emotion or sentiment.
Neutral,None,This is an incomplete sentence and doesn't convey any emotion or sentiment.
Neutral,Caution,"Be careful, please (Expression of warning)"
Neutral,None,"""What is that?"" is a question seeking information and doesn't convey any emotion or sentiment."
Neutral,Surprise,"What is that, 😭 (Expression of confusion)"
Neutral,No Emotion,"Please wear masks, guys (Request for safety measure)"
Neutral,Surprise,"The review shows initial confusion, then shifts to amusement upon realization."
Neutral,No clear emotion,"😏😏😏 - This emoji sequence suggests smugness or self-satisfaction, but lacks a clear negative or positive emotion."
Neutral,Encouragement,The review is a simple encouragement to Pandawara.
Neutral,No emotion detected,It's unclear what this line is referring to without context.
Neutral,No clear emotion,I just ate Woy 😒
Neutral,No clear emotion,"If Pandawara passes by the FYP, you must get the full set 😄"
Neutral,No Emotion,"This is a directive, no emotion is conveyed."
Neutral,No Emotion,"This is a statement about self-perception, no emotion is conveyed."
Neutral,No Emotion,"This is a statement about reflection, no emotion is conveyed."
Neutral,No clear emotion,"Those who don't like pandas, why not? (Neutral as it's a simple statement of curiosity)"
Neutral,No Emotion,"This is a polite request, no emotion is conveyed."
Neutral,No Emotion,"This is a request for a service, no emotion is conveyed."
Neutral,No Emotion,"This is a question, no emotion is conveyed."
Neutral,Surprise,😳😳😳 (Surprise due to the unexpected or shocking nature of the content)
Neutral,No Emotion,"This is a request for a service, no emotion is conveyed."
Neutral,Neutral,"This is a piece of advice, not an emotional statement, so it's classified as neutral."
Neutral,Neutral,"This is a question expressing curiosity, not a clear emotion."
Neutral,Neutral,"This is a directive rather than an emotional statement, so it's classified as neutral."
Neutral,Neutral,"This is an instruction rather than an emotional statement, so it's classified as neutral."
Neutral,No clear emotion,Even a baby's body...
Neutral,Disgust,"The review discusses an unpleasant smell, expressing disgust."
Neutral,Disgust,The review expresses confusion and disgust over an unknown smell.
Neutral,Neutral,"What's the use of that on a shroud? is ambiguous, could be curious or critical."
Neutral,Neutral,"Pandawara, when will you clean the canal near my house? It floods during rain. is a request or complaint."
Neutral,Neutral,"The request for cleaning service is neutral, lacking emotional context."
Neutral,Neutral,"Catch Anis is neutral, it could be a command or a request."
Neutral,Neutral,"My search for the mort creature is neutral, it could be either exciting or challenging."
Neutral,Neutral,"The review asks for reasons of disliking Pandawara, lacking emotional context."
Neutral,Neutral,"The statement about animal deaths is neutral, lacking emotional context."
Neutral,Surprise,"The user seems surprised by the comments, indicating a reaction rather than a positive or negative sentiment."
Neutral,Surprise,"The statement about a strong smell suggests surprise, but the sentiment isn't explicitly positive or negative."
Neutral,Neutral,My reflection is covering my mouth
Neutral,No Emotion,"This is a statement about a search, no emotion is conveyed."
Neutral,Neutral,"The review does not express a clear positive, negative, or mixed sentiment, nor does it convey a specific emotion from Ekman's model."
Neutral,Neutral,"This is a statement of fact, not an expression of sentiment."
Neutral,Neutral,"The review does not express a clear positive, negative, or mixed sentiment, nor does it convey a specific emotion from Ekman's model."
Neutral,Confusion,The use of 🗿 suggests confusion or disbelief.
Neutral,Amusement,"The use of 🙃 suggests amusement or light-heartedness, despite the potentially unpleasant context."
Neutral,No emotion,"For work, don't chatter much, finish quickly, move on to another place"
Neutral,Neutral,"This is your task, 🙏 - This line is neutral and could be interpreted as either positive (if the task is agreeable) or negative (if the task is undesirable)."
Neutral,No emotion,"The request for cleaning service is neutral, expressing no emotion."
Neutral,Neutral,"Why are you so late? - This line is neutral, expressing inquiry rather than a clear positive or negative emotion."
Neutral,No emotion,"The response about the cleaning time is also neutral, expressing no emotion."
Neutral,Mixed,Catch Anis - This line is neutral and could be interpreted as either positive (if 'Anis' is a positive entity) or negative (if 'Anis' is a negative entity).
Neutral,Surprise,"My reflection, I'm covering my mouth - This line expresses surprise but lacks a clear positive or negative emotion."
Neutral,Neutral,"This is a command or instruction, not expressing emotion."
Neutral,No emotion,"The question is neutral, expressing no emotion."
Neutral,Surprise,"This review doesn't express a clear positive or negative sentiment, but it does imply surprise with the mention of an unexpected dog owner."
Neutral,Neutral,"This is a piece of advice, not expressing emotion."
Neutral,Neutral,"This statement is factual and doesn't express a clear positive, negative, or mixed sentiment."
Neutral,Neutral,This is a direct question and does not express a clear emotion or sentiment.
Neutral,Neutral,This is a direct question and does not express a clear emotion or sentiment.
Neutral,Neutral,"This is a command or instruction, not expressing emotion."
Neutral,Neutral,This statement is a direct question and does not express a clear emotion or sentiment.
Neutral,Neutral,"The review does not express a clear positive, negative, or mixed sentiment, nor does it convey a specific emotion from Ekman's model."
Neutral,Neutral,"This is a casual greeting, not expressing a clear positive, negative, or mixed sentiment."
Neutral,Neutral,The review is a simple instruction rather than an expression of sentiment or emotion.
Neutral,Smell,"This statement describes a strong smell without expressing a clear positive, negative, or mixed sentiment."
Neutral,Neutral,"The review does not express a clear positive, negative, or mixed sentiment, nor does it convey a specific emotion from Ekman's model."
Neutral,Neutral,"This is a request for a service, not expressing a clear positive, negative, or mixed sentiment."
Neutral,Neutral,The review is a request rather than an expression of sentiment or emotion.
Neutral,Neutral,"This is a question, not an expression of sentiment."
Neutral,Neutral,"The statement is factual and emotionally neutral, describing the act of searching for a mortal creature."
Neutral,No emotion,The statement is a question about the necessity of trash.
Neutral,No emotion,"The speaker is maintaining their composure, not expressing any strong emotion."
Neutral,Neutral,"This statement is too vague to classify as positive, negative, or mixed."
Neutral,Neutral,"This statement is too vague to classify as positive, negative, or mixed."
Neutral,Neutral,"This statement is too vague to classify as positive, negative, or mixed."
Neutral,No specific emotion,"Thought there was no land, but it was thrown into the river 🗿"
Neutral,No specific emotion,I thought it was a baby giraffe 🗿
Neutral,No specific emotion,"They only do positive things, may Allah forgive us 🥺"
Neutral,Neutral,"The statement is a request for cleaning services, conveying a neutral sentiment."
Neutral,Neutral,"The review asks for opinions, conveying a neutral sentiment."
Neutral,No clear emotion detected,I'm eating something...
Neutral,No apparent emotion,"🔥 (The user expresses enthusiasm, but it's not tied to a specific emotion.)"
Neutral,No clear emotion detected,I think it's a baby rat...
Neutral,No apparent emotion,"🔥 (The user expresses enthusiasm, but it's not tied to a specific emotion.)"
Neutral,No clear emotion detected,"My Pandawara plate at home is really dirty, please clean it"
Neutral,No clear emotion detected,I was just eating...
Neutral,No clear emotion detected,I think it's a baby...
Neutral,No clear emotion detected,I'm searching for a mortal creature
Neutral,No Emotion Detected,No Emotion Detected (The review is a statement expressing modesty or humility.)
Neutral,No Emotion Detected,"No Emotion Detected (The review is a question, not expressing an emotion.)"
Neutral,No Emotion Detected,No Emotion Detected (The review is a statement expressing surprise or amazement.)
Neutral,No apparent emotion,(The statement is more of a cultural observation than an emotional response.)
Neutral,No Emotion Detected,"🗿 (The review is a statement, not expressing an emotion.)"
Neutral,Neutral,"This is a statement of fact, not expressing emotion."
Neutral,No Emotion Detected,"🙏 (The review is a request, not expressing an emotion.)"
Neutral,Neutral,"This is a well-wishing statement, not expressing a strong emotion."
Neutral,Neutral,Reflecting on holding my breath
Neutral,No emotion,The statement is more of an observation than an emotional response.
Neutral,No emotion,The statement is more of a description of action rather than an emotion.
Neutral,Neutral,"The statement is an instruction to reflect and catch one's breath, emotionally neutral."
Neutral,No emotion,The statement is more of a description of action rather than an emotion.
Neutral,Neutral,"This is a question, not an expression of sentiment."
Neutral,Neutral,"The statement is factual and emotionally neutral, describing the act of eating bread."
Neutral,Neutral,"The statement is factual and emotionally neutral, describing the act of eating bread."
Neutral,Neutral,Fighting with a clockmaker
Neutral,Neutral,Catch Anis
Neutral,No clear emotion,This comment is more of a factual statement rather than an emotional expression.
Neutral,Neutral,My search for the mort creature
Neutral,Neutral,Reflect on your breath
Neutral,No clear emotion,"This comment is a request, not an emotional expression."
Neutral,Neutral,I'm still eating 🗿
Neutral,Neutral,"The statement doesn't clearly indicate a positive or negative emotion, ""I thought it was a baby elephant 🗿"""
Neutral,Neutral,"The statement doesn't clearly indicate a positive or negative emotion, ""P is arguing about the clock"""
Neutral,Neutral,"The command doesn't clearly indicate a positive or negative emotion, ""Catch Anis"""
Neutral,Neutral,"The phrase doesn't clearly indicate a positive or negative emotion, ""My search for the mort creature"""
Neutral,Neutral,"The phrase ""Reflecting, holding breath"" is ambiguous and doesn't clearly indicate a positive or negative emotion."
Neutral,Neutral,This is a general greeting and does not express a clear emotion.
Neutral,Neutral,"The reviewer's reaction to the smell is presented in a neutral, sarcastic manner."
Neutral,Neutral,"This is a request for a service, not expressing an emotion."
Neutral,Neutral,This statement is a question and does not express a clear emotion.
Neutral,Neutral,This statement is factual and does not express a clear emotion.
Neutral,Neutral,"The statement about reflecting and holding one's breath doesn't convey a clear positive, negative, or mixed sentiment."
Neutral,Neutral,"The statement about still eating doesn't convey a clear positive, negative, or mixed sentiment."
Neutral,Neutral,"This is a question asking for clarification, not expressing an emotion."
Neutral,Neutral,"The statement about a baby giraffe doesn't convey a clear positive, negative, or mixed sentiment."
Neutral,Surprise,"""Catch Anis"" doesn't provide enough context for classification."
Neutral,Neutral,"This review is neutral, simply asking a question without expressing a clear sentiment."
Neutral,No emotion,"The instruction is to reflect and hold breath, not expressing any emotion."
Neutral,Neutral,"This is a prayer or well-wishing statement, not expressing a strong emotion."
Neutral,Neutral,"This comment is factual and neutral, not expressing any particular emotion."
Neutral,Neutral,"This comment provides advice, not expressing emotion."
Neutral,No clear emotion,"This is a political statement, not an emotional review."
Neutral,No specific emotion,"The review provides a cautionary note about watching Pandawara while eating, conveying neutral sentiment."
Neutral,No clear emotion,"This is a request, not an emotional review."
Neutral,No clear emotion,"This is a greeting, not an emotional review."
Neutral,No clear emotion,"This is a question, not an emotional review."
Neutral,Neutral,"The review is a request, not expressing a clear emotion."
Neutral,None,"Pandawara doesn't need words, they just need tangible proof from us to take care of the environment together."
Neutral,None,What can a pandawara do without trash?
Neutral,No clear emotion,"This is an observation, not an emotional review."
Neutral,None,What's the point of that on the shroud cloth?
Neutral,None,"If you're working, don't chit-chat too much, just get it done quickly so you can move on."
Neutral,Disgust,What can Pandawara do without trash?
Neutral,Surprise,"This is your task, 🙏"
Neutral,No basic emotion,"This statement seems unrelated to Pandawara or any emotional context, so it's classified as neutral."
Neutral,No emotion detected,This comment is a question and does not express any emotion.
Neutral,No emotion detected,The emoji 🗿 (torii gate) does not convey a clear emotion in this context.
Neutral,No basic emotion,The statement is more of a call to action rather than an expression of emotion.
Neutral,No emotion detected,This statement is a comment on physical appearance and does not express a clear emotion.
Neutral,No emotion detected,This statement describes a smell but does not convey a specific emotion.
Neutral,No emotion detected,This comment is a humorous comparison but does not fit into the six basic emotions.
Neutral,No emotion detected,This is a request and does not express an emotion.
Neutral,No emotion detected,This statement is a response to a request and does not express an emotion.
Neutral,No emotion detected,This statement offers advice without expressing an emotion.
Neutral,None,"This comment is a humorous warning, not tied to any basic emotion."
Neutral,Neutral,"This is a mention, not an emotional statement."
Neutral,None,"The speaker emphasizes the need for tangible action rather than words, conveying a neutral sentiment."
Neutral,None,"This statement is a factual observation, not expressing a clear positive, negative, or mixed sentiment."
Neutral,None,This comment is a humorous warning rather than expressing a specific emotion.
Neutral,Neutral,"The comment is a simple greeting and question, lacking sentiment to be classified."
Neutral,Warning,The user issues a cautionary note about watching Pandawara while eating.
Neutral,Disgust,The user implies dissatisfaction with mere words and calls for concrete actions to protect the environment.
Neutral,Fear/Surprise,The user's statement could be interpreted as a surprising or fearful comment about replacing people in 2030.
Neutral,Sadness,The user expresses concern for Pandawara's health due to their activities in potentially dirty environments.
Neutral,Neutral,"The comment is a casual observation without a clear positive, negative, or mixed sentiment."
Neutral,No emotion detected,"Ya Allah, have mercy on our brothers and sisters in Palestine! #FreePalestine #SavePalestine #AllEyesOnRafah"
Neutral,No emotion detected,@girrlss @day
Neutral,Disgust,"The review expresses a health concern, suggesting the potential harm from inhaling harmful substances."
Neutral,Sadness,"Stay healthy, Pandawara, regularly check your health at the hospital, you often play in murky, dirty water, please check"
Neutral,No emotion detected,"Referring to one's nose, by the way, pandawara is impressive, always healthy."
Neutral,No emotion detected,The statement is factual and does not express a clear emotion.
Neutral,No emotion detected,"The statement is a plea for divine mercy, lacking a clear emotional tone."
Neutral,No emotion detected,The comment is descriptive and does not express a clear emotion.
Neutral,No emotion detected,"The comment appears to be a tag or mention, not expressing an emotion."
Neutral,No emotion detected,"The statement is a plea for divine protection, lacking a clear emotional tone."
Neutral,No emotion detected,The hashtags express solidarity but do not convey a specific emotion.
Neutral,Anger,"The reviewer calls for change, expressing frustration."
Neutral,Sadness,"The reviewer expresses concern for the health of Pandawara due to their exposure to polluted water, conveying sadness."
Neutral,No emotion detected,The statement is descriptive and does not express a clear emotion.
Neutral,Frustration,The review conveys frustration about the lack of cleanliness in the speaker's city.
Neutral,Hope,The review expresses hope for a cleaner city in the future.
Neutral,Neutral,"Pandawara doesn't need words, they just need concrete actions from us to take care of the environment"
Neutral,Neutral,"This statement is a question, expressing confusion and seeking information."
Neutral,Neutral,What can Pandawara do without trash?
Neutral,No emotion detected,This is a hashtag advocating for a cause without expressing a personal emotion.
Neutral,Neutral,"This comment provides practical advice, devoid of emotional connotations."
Neutral,Confusion,"The sentiment is neutral, expressing confusion about an unpleasant smell."
Neutral,Neutral,"This statement is a command, not expressing a clear emotion."
Neutral,Neutral,"This comment questions the utility of something on a shroud, lacking clear emotional context."
Neutral,Surprise,"The reviewer questions the presence of something, possibly expressing surprise or confusion."
Neutral,Neutral,"This comment discusses a traffic issue, expressing frustration but not a clear emotion."
Neutral,Neutral,"This review is a statement about a character, ""Catch Anis"", lacking specific emotional context."
Neutral,None,"The statement is a declaration of a personal quest, not expressing any emotion."
Neutral,None,"The statement is a question about the utility of Pandarawa's work, not expressing any emotion."
Neutral,No emotion detected,"The review is a simple greeting, not expressing any particular emotion."
Neutral,None,"The statement is a question about the practical use of something, not expressing any emotion."
Neutral,No emotion detected,"The review is a simple greeting, not expressing any particular emotion."
Neutral,No emotion detected,"The review is a simple greeting, not expressing any particular emotion."
Neutral,None,"The statement is a question about a parking situation, not expressing any emotion."
Neutral,Neutral,"Traffic jams are generally seen as a neutral or negative circumstance, but without additional context, it's considered neutral."
Neutral,No emotion detected,"The review is a request, not expressing any particular emotion."
Neutral,Neutral,"This is a directive or instruction, lacking emotional context, thus considered neutral."
Neutral,Neutral,"This is a statement about a personal quest or search, lacking emotional context, thus considered neutral."
Neutral,Neutral,"This statement is about participating in a movement, lacking emotional context, thus considered neutral."
Neutral,Neutral,"This is a rhetorical question, lacking emotional context, thus considered neutral."
Neutral,Neutral,"This review is neutral, merely posing a question without expressing a clear positive or negative sentiment."
Neutral,Neutral,"This is a task assignment, devoid of emotional content, thus considered neutral."
Neutral,Neutral,"This statement is a question, lacking emotional context, thus considered neutral."
Neutral,No emotion,The question about an object (🗿) standing at an intersection is neutral.
Neutral,No emotion,"The traffic jam is a neutral statement, not expressing any emotion."
Neutral,No emotion,"The instruction to catch Anis is neutral, not expressing any emotion."
Neutral,No emotion,"The search for a ""mort creature"" is neutral, not expressing any emotion."
Neutral,No emotion,"The statement is about reflection and covering the mouth, not expressing any emotion."
Neutral,Neutral,"This comment questions the capability of Pandawara in the absence of trash, lacking clear emotional context."
Neutral,Request,"Pandawara, clean up my cat's shit"
Neutral,Neutral,"This comment is a straightforward question, lacking any emotional tone."
Neutral,Neutral,"This comment is a question, not expressing a clear emotion."
Neutral,None,"This is a request, not an expression of sentiment."
Neutral,None,"This question does not express a clear positive, negative, or mixed sentiment."
Neutral,Neutral,"This is a rhetorical question and doesn't express a clear positive, negative, or mixed sentiment."
Neutral,None,"This is a polite inquiry, not an expression of sentiment."
Neutral,None,"This is a question, not an expression of sentiment."
Neutral,Neutral,"This is a question and doesn't express a clear positive, negative, or mixed sentiment."
Neutral,Neutral,"This is a factual inquiry about a service, not expressing a positive, negative, or mixed sentiment."
Neutral,Neutral,"This statement is a question and lacks sentiment, thus it's classified as neutral."
Neutral,Neutral,"Pandawara doesn't need words, it just needs real actions from us to take care of the environment together."
Neutral,Confusion,What can a clean Pandawara do?
Neutral,None,Request for cleaning service.
Neutral,Confusion,What's the point in shroud cloth?
Neutral,No emotion identified,Catch Anis
Neutral,No emotion identified,What can a clean city without trash do?
Neutral,None,Request for specific cleaning task.
Neutral,Surprise,Inquiry about the source of the smell.
Neutral,No emotion,"Pandawara doesn't need words, it just needs concrete actions from us to take care of the environment together. (comment 15)"
Neutral,No emotion,"This is your task, 🙏 (comment 15)"
Neutral,No emotion,What can a worker do without trash? (comment 10)
Neutral,None,Request for clarification.
Neutral,No emotion,Catch Anis
Neutral,Surprise,"😑 (Neutral, Surprise)"
Neutral,Request,"""Pandawara, can you please clean around my house when?"""
Neutral,Curiosity,"Those who don't like Pandawara, why?"
Neutral,Neutral,"This statement is a question, seeking information, not expressing emotion."
Neutral,Neutral,"This is a stereotypical statement, not expressing a strong emotion."
Neutral,Request,"""My household plates are so dirty, please clean them 🙏"" is a straightforward request."
Neutral,No clear emotion,Covering your face with a hood while wearing a hoodie.
Neutral,No emotion detected,This statement lacks clear sentiment or emotion.
